Ref,Val,Package,PosX,PosY,Rot,Side
"C73","100n","C_0603_HandSoldering",50.270000,36.540000,270.000000,bottom
"R1","4k7","R_0603_HandSoldering",12.870000,21.440000,0.000000,bottom
"R2","4k7","R_0603_HandSoldering",12.870000,24.640000,0.000000,bottom
"R6","Riedon CSR1206-0R002F1","R_1206_HandSoldering",4.170000,11.940000,180.000000,bottom
"R7","0","R_0603_HandSoldering",15.700000,2.413094,270.000000,bottom
"R8","0","R_0603_HandSoldering",2.400000,2.413094,90.000000,bottom
"R10","4k7","R_0603_HandSoldering",37.870000,21.440000,0.000000,bottom
"R11","4k7","R_0603_HandSoldering",37.870000,24.640000,0.000000,bottom
"R15","Riedon CSR1206-0R002F1","R_1206_HandSoldering",29.170000,11.940000,180.000000,bottom
"R16","0","R_0603_HandSoldering",40.700000,2.413094,270.000000,bottom
"R17","0","R_0603_HandSoldering",27.400000,2.413094,90.000000,bottom
"R19","4k7","R_0603_HandSoldering",55.550000,24.713094,180.000000,bottom
"R20","4k7","R_0603_HandSoldering",55.550000,21.613094,180.000000,bottom
"R24","Riedon CSR1206-0R002F1","R_1206_HandSoldering",54.170000,11.940000,180.000000,bottom
"R25","0","R_0603_HandSoldering",65.700000,2.413094,270.000000,bottom
"R26","0","R_0603_HandSoldering",52.400000,2.413094,90.000000,bottom
"R28","4k7","R_0603_HandSoldering",80.600000,24.663094,180.000000,bottom
"R29","4k7","R_0603_HandSoldering",80.550000,21.663094,180.000000,bottom
"R33","Riedon CSR1206-0R002F1","R_1206_HandSoldering",79.170000,11.940000,180.000000,bottom
"R34","0","R_0603_HandSoldering",90.700000,2.413094,270.000000,bottom
"R35","0","R_0603_HandSoldering",77.400000,2.413094,90.000000,bottom
"R37","4k7","R_0603_HandSoldering",77.132142,46.386188,180.000000,bottom
"R38","4k7","R_0603_HandSoldering",77.132142,43.186188,180.000000,bottom
"R42","Riedon CSR1206-0R002F1","R_1206_HandSoldering",85.832142,55.886188,0.000000,bottom
"R43","0","R_0603_HandSoldering",74.302142,65.413094,90.000000,bottom
"R44","0","R_0603_HandSoldering",87.602142,65.413094,270.000000,bottom
"R46","4k7","R_0603_HandSoldering",52.132142,46.386188,180.000000,bottom
"R47","4k7","R_0603_HandSoldering",52.132142,43.186188,180.000000,bottom
"R51","Riedon CSR1206-0R002F1","R_1206_HandSoldering",60.832142,55.886188,0.000000,bottom
"R52","0","R_0603_HandSoldering",49.302142,65.413094,90.000000,bottom
"R53","0","R_0603_HandSoldering",62.602142,65.413094,270.000000,bottom
"R55","4k7","R_0603_HandSoldering",34.400000,43.213094,0.000000,bottom
"R56","4k7","R_0603_HandSoldering",34.400000,46.213094,0.000000,bottom
"R60","Riedon CSR1206-0R002F1","R_1206_HandSoldering",35.832142,55.886188,0.000000,bottom
"R61","0","R_0603_HandSoldering",24.302142,65.413094,90.000000,bottom
"R62","0","R_0603_HandSoldering",37.602142,65.413094,270.000000,bottom
"R64","4k7","R_0603_HandSoldering",9.400000,43.163094,0.000000,bottom
"R65","4k7","R_0603_HandSoldering",9.400000,46.213094,0.000000,bottom
"R69","Riedon CSR1206-0R002F1","R_1206_HandSoldering",10.832142,55.886188,0.000000,bottom
"R70","0","R_0603_HandSoldering",-0.697858,65.413094,90.000000,bottom
"R71","0","R_0603_HandSoldering",12.602142,65.413094,270.000000,bottom
"R79","4k7","R_0603_HandSoldering",63.570000,32.440000,180.000000,bottom
"R80","4k7","R_0603_HandSoldering",63.470000,35.940000,180.000000,bottom
"R81","4k7","R_0603_HandSoldering",51.570000,28.740000,180.000000,bottom
"U1","PCA9548A","SSOP-24_5.3x8.2mm_Pitch0.65mm",45.000000,34.013094,90.000000,bottom
"U3","INA250A2PWR","TSSOP-16_4.4x5mm_Pitch0.65mm",9.050000,2.113094,0.000000,bottom
"U5","INA250A2PWR","TSSOP-16_4.4x5mm_Pitch0.65mm",34.050000,2.113094,0.000000,bottom
"U7","INA250A2PWR","TSSOP-16_4.4x5mm_Pitch0.65mm",59.050000,2.113094,0.000000,bottom
"U9","INA250A2PWR","TSSOP-16_4.4x5mm_Pitch0.65mm",84.050000,2.113094,0.000000,bottom
"U11","INA250A2PWR","TSSOP-16_4.4x5mm_Pitch0.65mm",80.952142,65.713094,180.000000,bottom
"U13","INA250A2PWR","TSSOP-16_4.4x5mm_Pitch0.65mm",55.952142,65.713094,180.000000,bottom
"U15","INA250A2PWR","TSSOP-16_4.4x5mm_Pitch0.65mm",30.952142,65.713094,180.000000,bottom
"U17","INA250A2PWR","TSSOP-16_4.4x5mm_Pitch0.65mm",5.952142,65.713094,180.000000,bottom
